City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
56,Ushuaia,AR,2019-11-10 22:59:36,-54.81,-68.31,60.8,38,6,3.38,clear sky,0,0
57,Bandarbeyla,SO,2019-11-10 23:02:53,9.49,50.81,79.47,70,34,12.84,light rain,0.25,0
58,San Carlos De Bariloche,AR,2019-11-10 23:02:54,-41.13,-71.31,73.4,23,75,10.29,broken clouds,0,0
59,Yerbogachen,RU,2019-11-10 23:02:54,61.28,108.01,-17.67,96,95,6.51,overcast clouds,0,0
60,Vestmannaeyjar,IS,2019-11-10 23:02:54,63.44,-20.27,44.53,86,100,45.16,moderate rain,5.69,0
61,Kahului,US,2019-11-10 23:01:50,20.89,-156.47,87.8,58,40,14.99,scattered clouds,0,0
62,Teruel,ES,2019-11-10 23:02:54,40.34,-1.11,50.0,92,26,10.29,scattered clouds,0,0
63,Mount Gambier,AU,2019-11-10 23:02:55,-37.83,140.78,59.0,67,99,14.99,overcast clouds,0,0
64,Jalu,LY,2019-11-10 23:02:55,29.03,21.55,67.78,71,100,5.84,overcast clouds,0,0
65,Lakatoro,VU,2019-11-10 23:02:55,-16.11,167.42,79.63,78,2,16.53,clear sky,0,0
66,Kruisfontein,ZA,2019-11-10 23:02:55,-34.0,24.73,63.07,85,92,17.36,overcast clouds,0,0
67,Mahebourg,MU,2019-11-10 23:02:55,-20.41,57.7,71.01,94,20,5.82,few clouds,0,0
68,Bintulu,MY,2019-11-10 23:02:56,3.17,113.03,78.8,94,75,1.97,thunderstorm,0,0
69,Dhaulpur,IN,2019-11-10 23:02:56,26.7,77.9,67.96,54,0,1.79,clear sky,0,0
70,Butaritari,KI,2019-11-10 23:02:56,3.07,172.79,83.91,71,98,6.6,overcast clouds,0,0
71,Nishihara,JP,2019-11-10 23:02:56,35.74,139.53,57.99,87,75,9.17,broken clouds,0,0
72,Wembley,CA,2019-11-10 23:02:57,55.15,-119.14,-0.41,91,20,5.82,few clouds,0,0
